Match Number	Date	Team1	Team2	TIME (IST)	VENUE	Start	End
46	5/16/2021	Rajasthan Royals	Royal Challengers Bangalore	3:30 PM	Kolkata	5/16/2021 10:00:00	5/16/2021 10:15:00
47	5/16/2021	Chennai Super Kings	Mumbai Indians	7:30 PM	Bengaluru	5/16/2021 10:00:00	5/16/2021 10:15:00
48	5/17/2021	Delhi Capitals	Sunrisers Hyderabad	7:30 PM	Kolkata	5/17/2021 10:00:00	5/17/2021 10:15:00
49	5/18/2021	Kolkata Knight Riders	Rajasthan Royals	3:30 PM	Bengaluru	5/18/2021 10:00:00	5/18/2021 10:15:00
50	5/19/2021	Sunrisers Hyderabad	Punjab Kings	3:30 PM	Bengaluru	5/19/2021 10:00:00	5/19/2021 10:15:00
51	5/20/2021	Royal Challengers Bangalore	Mumbai Indians	7:30 PM	Kolkata	5/20/2021 10:00:00	5/20/2021 10:15:00
52	5/21/2021	Kolkata Knight Riders	Sunrisers Hyderabad	3:30 PM	Bengaluru	5/21/2021 10:00:00	5/21/2021 10:15:00
53	5/21/2021	Delhi Capitals	Chennai Super Kings	7:30 PM	Kolkata	5/21/2021 10:00:00	5/21/2021 10:15:00
54	5/22/2021	Punjab Kings	Rajasthan Royals	7:30 PM	Bengaluru	5/22/2021 10:00:00	5/22/2021 10:15:00
55	5/23/2021	Mumbai Indians	Delhi Capitals	3:30 PM	Kolkata	5/23/2021 10:00:00	5/23/2021 10:15:00
56	5/23/2021	Royal Challengers Bangalore	Chennai Super Kings	7:30 PM	Kolkata	5/23/2021 10:00:00	5/23/2021 10:15:00
57	5/25/2021	QUALIFIER 1		7:30 PM	Ahmedabad	5/25/2021 10:00:00	5/25/2021 10:15:00
58	5/26/2021	ELIMINATOR		7:30 PM	Ahmedabad	5/26/2021 10:00:00	5/26/2021 10:15:00
59	5/28/2021	QUALIFIER 2		7:30 PM	Ahmedabad	5/28/2021 10:00:00	5/28/2021 10:15:00
60	5/30/2021	FINAL		7:30 PM	Ahmedabad	5/30/2021 10:00:00	5/30/2021 10:15:00

